label,text
1,المهم
1,ليت ايام السنة رمضان
1,﻿اللهم اصبح بي نعمة بأحد خلقك فمنك وحدك شريك فلك الحمد الشكر
1,الله حيهم اكبرهم هالسباب
1,ممكن احسن بالاخلاص
0,قصد كبير
0,المعنى الحقيقي لعاااهاتك يا وطن
1,فاظفر بذات الدين تربت يداك
1,لأن بالفعل شي
1,كن الشخص
1,انا معك دين الاسلام لكل الناس زمان ومكان
0,﻿هاض بني ادم حقير
0,شو هل الاهبل
0,انا عرف شيء والله ببكي اكتر بضحك
0,شو بدو بهالسّحنه
1,﻿نسمات انتعاش الفجر رحمات يظفر اهل النور التام توسعت صدورهم بانشراح جماعة الفجر حيوية صبح يتنفس منتشيا مرحبا بكل مبادر للخير
1,الله بقول كده م الصبح
0,شو هاد البرنامج معقول عرضوه القنوات
0,شاء الله والله امر متل الكرتون
0,﻿انا اردني بقول الشعب بيستاهل غلا هيك
0,النسخ العربية والجنبيى كله تمثيل تمثيل مسخره وعقول تاقهة
1,كرامه الحب والغرام
1,يا ارحم الراحمين يا الله
1,﻿و جنة النعيم الرحمن
0,﻿ سخيفه قوووه
0,الك يوم يا ظالم
0,بسسسسس مقززز
0,أحلى تخلف
1,ربنا يسهل
1,موضوع اكتر رآئع
0,العجوز والرجال بجنبه بله وأغبياء وأنهم يثبطون الواحد
1,﻿صباح العفو التسامح صباح الخير لوجه الخير
1,صدقت
0,انتو كلاب ازى تسو المصحف بى كلابه زى ده
0,حيوان
1,فعلا
1,التفائل حلو الحياة بس الاهم عايش ناس متفائلين مش لحالك المتفائل
1,رب كريم
1,﻿حلوه قوي يا د رو لو واحد تيقن القصه يوجد حاسد ظالم متواكل اللهم ارزقنا رزقا حلال طيبا اللهم آمين
1,والله قررات دلواتى يا مصطفى بس انا عاز رايك حاجات كتير
1,حقيقى لازم نجمد قلبنا حاجة غلط
